Entry,Entry name,Status,Protein names,Gene names,Organism,Length,Gene ontology (biological process),Gene ontology (cellular component),Gene ontology (GO),Gene ontology (molecular function),Gene ontology IDs,Cross-reference (KEGG),Cross-reference (KO),Cross-reference (Pfam),yourlist:M2018112014483A1C7ED25EE8374758DF3FD545FD0244567
A0A2B4SUZ6,A0A2B4SUZ6_STYPI,unreviewed,Myosin regulatory light chain sqh,sqh AWC38_SpisGene2825,Stylophora pistillata (Smooth cauliflower coral),172,,,calcium ion binding [GO:0005509],calcium ion binding [GO:0005509],GO:0005509,,,PF13405;PF13499;,A0A2B4SUZ6
G7YXW7,G7YXW7_CLOSI,unreviewed,Actin-5,CLF_113210,Clonorchis sinensis (Chinese liver fluke),107,,,,,,,,PF00022;,G7YXW7
A0A2B4RST7,A0A2B4RST7_STYPI,unreviewed,DNA polymerase kappa,POLK AWC38_SpisGene16201,Stylophora pistillata (Smooth cauliflower coral),747,DNA repair [GO:0006281],,damaged DNA binding [GO:0003684]; DNA-directed DNA polymerase activity [GO:0003887]; DNA repair [GO:0006281],damaged DNA binding [GO:0003684]; DNA-directed DNA polymerase activity [GO:0003887],GO:0003684; GO:0003887; GO:0006281,,,PF00817;PF11799;PF11798;,A0A2B4RST7
A0A2B4RIX3,A0A2B4RIX3_STYPI,unreviewed,Protein asteroid-like 1,ASTE1 AWC38_SpisGene18558,Stylophora pistillata (Smooth cauliflower coral),1110,,,,,,,,PF12813;,A0A2B4RIX3
W5KHC8,W5KHC8_ASTMX,unreviewed,Glutathione peroxidase,,Astyanax mexicanus (Blind cave fish) (Astyanax fasciatus mexicanus),142,response to oxidative stress [GO:0006979],,glutathione peroxidase activity [GO:0004602]; response to oxidative stress [GO:0006979],glutathione peroxidase activity [GO:0004602],GO:0004602; GO:0006979,,,PF00255;,W5KHC8
A0A1A8QUS8,A0A1A8QUS8_9TELE,unreviewed,Cleavage and polyadenylation specific factor 5 (Fragment),CPSF5,Nothobranchius pienaari,275,mRNA polyadenylation [GO:0006378],mRNA cleavage factor complex [GO:0005849],mRNA cleavage factor complex [GO:0005849]; hydrolase activity [GO:0016787]; mRNA binding [GO:0003729]; mRNA polyadenylation [GO:0006378],hydrolase activity [GO:0016787]; mRNA binding [GO:0003729],GO:0003729; GO:0005849; GO:0006378; GO:0016787,,,PF13869;,A0A1A8QUS8
A0A2B4RUJ2,A0A2B4RUJ2_STYPI,unreviewed,Inosine-uridine preferring nucleoside hydrolase,NSNH AWC38_SpisGene15087,Stylophora pistillata (Smooth cauliflower coral),309,,,hydrolase activity [GO:0016787],hydrolase activity [GO:0016787],GO:0016787,,,PF01156;,A0A2B4RUJ2
A0A2B4SW96,A0A2B4SW96_STYPI,unreviewed,Radial spoke head protein 9-like,rsph9 AWC38_SpisGene2366,Stylophora pistillata (Smooth cauliflower coral),281,,,,,,,,PF04712;,A0A2B4SW96
A0A2B4SFV0,A0A2B4SFV0_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene5680,Stylophora pistillata (Smooth cauliflower coral),177,,,,,,,,,A0A2B4SFV0
A0A2B4RI31,A0A2B4RI31_STYPI,unreviewed,Neurofilament medium polypeptide,NEFM AWC38_SpisGene19838,Stylophora pistillata (Smooth cauliflower coral),1070,DNA integration [GO:0015074]; DNA recombination [GO:0006310],,DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310],DNA binding [GO:0003677],GO:0003677; GO:0006310; GO:0015074,,,PF00589;,A0A2B4RI31
A0A2B4RRN4,A0A2B4RRN4_STYPI,unreviewed,tRNA (Uracil-5-)-methyltransferase-like A,TRMT2A AWC38_SpisGene16608,Stylophora pistillata (Smooth cauliflower coral),729,RNA processing [GO:0006396],,RNA binding [GO:0003723]; RNA methyltransferase activity [GO:0008173]; RNA processing [GO:0006396],RNA binding [GO:0003723]; RNA methyltransferase activity [GO:0008173],GO:0003723; GO:0006396; GO:0008173,,,PF05958;,A0A2B4RRN4
A0A2B4SX69,A0A2B4SX69_STYPI,unreviewed,3-hydroxybutyryl-CoA dehydratase,crt AWC38_SpisGene2149,Stylophora pistillata (Smooth cauliflower coral),306,,,catalytic activity [GO:0003824],catalytic activity [GO:0003824],GO:0003824,,,PF00378;,A0A2B4SX69
A0A2B4RPI8,A0A2B4RPI8_STYPI,unreviewed,Proteasome subunit alpha type (EC 3.4.25.1),PSMA7 AWC38_SpisGene15232,Stylophora pistillata (Smooth cauliflower coral),256,ubiquitin-dependent protein catabolic process [GO:0006511],"cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome core complex, alpha-subunit complex [GO:0019773]","cytoplasm [GO:0005737]; nucleus [GO:0005634]; proteasome core complex, alpha-subunit complex [GO:0019773]; threonine-type endopeptidase activity [GO:0004298]; ubiquitin-dependent protein catabolic process [GO:0006511]",threonine-type endopeptidase activity [GO:0004298],GO:0004298; GO:0005634; GO:0005737; GO:0006511; GO:0019773,,,PF00227;PF10584;,A0A2B4RPI8
A0A2B4RB74,A0A2B4RB74_STYPI,unreviewed,CD209 antigen-like protein E,Cd209e AWC38_SpisGene22283,Stylophora pistillata (Smooth cauliflower coral),1062,,,calcium ion binding [GO:0005509],calcium ion binding [GO:0005509],GO:0005509,,,PF00008;PF00147;PF07648;PF00059;,A0A2B4RB74
A0A2B4SVJ1,A0A2B4SVJ1_STYPI,unreviewed,60S ribosomal protein L14,RPL14 AWC38_SpisGene2035,Stylophora pistillata (Smooth cauliflower coral),136,translation [GO:0006412],ribosome [GO:0005840],ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],structural constituent of ribosome [GO:0003735],GO:0003735; GO:0005840; GO:0006412,,,PF01929;,A0A2B4SVJ1
A0A2B4RPI0,A0A2B4RPI0_STYPI,unreviewed,Betaine--homocysteine S-methyltransferase 1,bhmt AWC38_SpisGene16070,Stylophora pistillata (Smooth cauliflower coral),378,methionine biosynthetic process [GO:0009086],cytoplasm [GO:0005737],cytoplasm [GO:0005737]; betaine-homocysteine S-methyltransferase activity [GO:0047150]; zinc ion binding [GO:0008270]; methionine biosynthetic process [GO:0009086],betaine-homocysteine S-methyltransferase activity [GO:0047150]; zinc ion binding [GO:0008270],GO:0005737; GO:0008270; GO:0009086; GO:0047150,,,PF02574;,A0A2B4RPI0
A7SQP1,A7SQP1_NEMVE,unreviewed,Predicted protein,v1g235818,Nematostella vectensis (Starlet sea anemone),151,translation [GO:0006412],cytosolic small ribosomal subunit [GO:0022627]; nucleolus [GO:0005730],cytosolic small ribosomal subunit [GO:0022627]; nucleolus [GO:0005730]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735],GO:0003735; GO:0005730; GO:0006412; GO:0022627; GO:0070181,nve:NEMVE_v1g235818;,K02953;,PF08069;PF00312;,A7SQP1
A0A2B4RLY0,A0A2B4RLY0_STYPI,unreviewed,Biogenesis of lysosome-related organelles complex 1 subunit 4,BLOC1S4 AWC38_SpisGene17012,Stylophora pistillata (Smooth cauliflower coral),206,,,,,,,,,A0A2B4RLY0
A0A2B4SQ72,A0A2B4SQ72_STYPI,unreviewed,Histone H5,2 AWC38_SpisGene4592,Stylophora pistillata (Smooth cauliflower coral),221,nucleosome assembly [GO:0006334],nucleosome [GO:0000786]; nucleus [GO:0005634],nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; nucleosome assembly [GO:0006334],DNA binding [GO:0003677],GO:0000786; GO:0003677; GO:0005634; GO:0006334,,,PF00538;,A0A2B4SQ72
A0A1X7VLR9,A0A1X7VLR9_AMPQE,unreviewed,Histone H4,,Amphimedon queenslandica (Sponge),103,"DNA-templated transcription, initiation [GO:0006352]; nucleosome assembly [GO:0006334]",nucleosome [GO:0000786]; nucleus [GO:0005634],"nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; DNA-templated transcription, initiation [GO:0006352]; nucleosome assembly [GO:0006334]",DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982],GO:0000786; GO:0003677; GO:0005634; GO:0006334; GO:0006352; GO:0046982,aqu:100639265;,K11254;,PF15511;,A0A1X7VLR9
A0A2B4S4D9,A0A2B4S4D9_STYPI,unreviewed,Heterogeneous nuclear ribonucleoprotein U-like protein 1,Hnrnpul1 AWC38_SpisGene11509,Stylophora pistillata (Smooth cauliflower coral),748,,,,,,,,PF02037;PF00622;,A0A2B4S4D9
A0A2I4BHN2,A0A2I4BHN2_9TELE,unreviewed,GTPase IMAP family member 4-like,LOC106519933,Austrofundulus limnaeus,265,,,GTP binding [GO:0005525],GTP binding [GO:0005525],GO:0005525,,,PF04548;,A0A2I4BHN2
A0A2B4SPP9,A0A2B4SPP9_STYPI,unreviewed,14-3-3 protein beta/alpha-A,ywhaba AWC38_SpisGene4690,Stylophora pistillata (Smooth cauliflower coral),298,,,protein domain specific binding [GO:0019904],protein domain specific binding [GO:0019904],GO:0019904,,,PF00244;,A0A2B4SPP9
A0A2B4RZB1,A0A2B4RZB1_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene13346,Stylophora pistillata (Smooth cauliflower coral),266,,,,,,,,PF00536;,A0A2B4RZB1
A0A2B4T1A0,A0A2B4T1A0_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene58,Stylophora pistillata (Smooth cauliflower coral),771,,,nucleic acid binding [GO:0003676],nucleic acid binding [GO:0003676],GO:0003676,,,,A0A2B4T1A0
A0A2B4S7W4,A0A2B4S7W4_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene10853,Stylophora pistillata (Smooth cauliflower coral),1000,,nucleus [GO:0005634],nucleus [GO:0005634]; zinc ion binding [GO:0008270],zinc ion binding [GO:0008270],GO:0005634; GO:0008270,,,PF07776;,A0A2B4S7W4
A0A2B4S655,A0A2B4S655_STYPI,unreviewed,26S protease regulatory subunit 6B,PSMC4 AWC38_SpisGene11334,Stylophora pistillata (Smooth cauliflower coral),412,protein catabolic process [GO:0030163],cytoplasm [GO:0005737],cytoplasm [GO:0005737]; ATP binding [GO:0005524]; peptidase activity [GO:0008233]; proteasome-activating ATPase activity [GO:0036402]; protein catabolic process [GO:0030163],ATP binding [GO:0005524]; peptidase activity [GO:0008233]; proteasome-activating ATPase activity [GO:0036402],GO:0005524; GO:0005737; GO:0008233; GO:0030163; GO:0036402,,,PF00004;,A0A2B4S655
A0A171BBC3,A0A171BBC3_TRIIF,unreviewed,26s protease regulatory subunit 6b (Fragment),,Triatoma infestans (Assassin bug),165,,,ATP binding [GO:0005524]; peptidase activity [GO:0008233]; proteasome-activating ATPase activity [GO:0036402],ATP binding [GO:0005524]; peptidase activity [GO:0008233]; proteasome-activating ATPase activity [GO:0036402],GO:0005524; GO:0008233; GO:0036402,,,PF00004;,A0A171BBC3
A0A2B4RSY2,A0A2B4RSY2_STYPI,unreviewed,Myotubularin-related protein 8,MTMR8 AWC38_SpisGene16126,Stylophora pistillata (Smooth cauliflower coral),1308,phosphatidylinositol dephosphorylation [GO:0046856],integral component of membrane [GO:0016021],integral component of membrane [GO:0016021]; phosphatidylinositol phosphate phosphatase activity [GO:0052866]; phosphatidylinositol dephosphorylation [GO:0046856],phosphatidylinositol phosphate phosphatase activity [GO:0052866],GO:0016021; GO:0046856; GO:0052866,,,PF06602;,A0A2B4RSY2
A0A2B4SPI6,A0A2B4SPI6_STYPI,unreviewed,Double-stranded RNA-specific editase 1,Adarb1 AWC38_SpisGene4674,Stylophora pistillata (Smooth cauliflower coral),698,RNA processing [GO:0006396],,adenosine deaminase activity [GO:0004000]; RNA binding [GO:0003723]; RNA processing [GO:0006396],adenosine deaminase activity [GO:0004000]; RNA binding [GO:0003723],GO:0003723; GO:0004000; GO:0006396,,,PF02137;PF00035;,A0A2B4SPI6
B6SCR5,B6SCR5_9CNID,unreviewed,BMP2/4 (Fragment),,Acropora sp. DZ-2008,378,,extracellular region [GO:0005576],extracellular region [GO:0005576]; growth factor activity [GO:0008083],growth factor activity [GO:0008083],GO:0005576; GO:0008083,,,PF00019;PF00688;,B6SCR5
A0A2B4RV60,A0A2B4RV60_STYPI,unreviewed,Mitochondria-eating protein,SPATA18 AWC38_SpisGene14038,Stylophora pistillata (Smooth cauliflower coral),719,mitochondrial protein catabolic process [GO:0035694],mitochondrial outer membrane [GO:0005741],mitochondrial outer membrane [GO:0005741]; mitochondrial protein catabolic process [GO:0035694],,GO:0005741; GO:0035694,,,PF16026;,A0A2B4RV60
A0A2B4SX12,A0A2B4SX12_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene1996,Stylophora pistillata (Smooth cauliflower coral),280,,,,,,,,,A0A2B4SX12
A0A2B4SR64,A0A2B4SR64_STYPI,unreviewed,Glutamate dehydrogenase,gdhA AWC38_SpisGene3293,Stylophora pistillata (Smooth cauliflower coral),449,cellular amino acid metabolic process [GO:0006520],,"oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor [GO:0016639]; cellular amino acid metabolic process [GO:0006520]","oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor [GO:0016639]",GO:0006520; GO:0016639,,,PF00208;PF02812;,A0A2B4SR64
A0A2B4RY29,A0A2B4RY29_STYPI,unreviewed,Mannose-1-phosphate guanyltransferase beta-B,gmppb-b AWC38_SpisGene14361,Stylophora pistillata (Smooth cauliflower coral),360,biosynthetic process [GO:0009058],,nucleotidyltransferase activity [GO:0016779]; biosynthetic process [GO:0009058],nucleotidyltransferase activity [GO:0016779],GO:0009058; GO:0016779,,,PF00132;PF00483;,A0A2B4RY29
A0A2B4RBB6,A0A2B4RBB6_STYPI,unreviewed,Betaine--homocysteine S-methyltransferase 1,bhmt AWC38_SpisGene20853,Stylophora pistillata (Smooth cauliflower coral),714,,integral component of membrane [GO:0016021],integral component of membrane [GO:0016021]; metal ion binding [GO:0046872]; methyltransferase activity [GO:0008168],metal ion binding [GO:0046872]; methyltransferase activity [GO:0008168],GO:0008168; GO:0016021; GO:0046872,,,PF02574;,A0A2B4RBB6
A7RQD8,A7RQD8_NEMVE,unreviewed,Predicted protein,v1g180772,Nematostella vectensis (Starlet sea anemone),118,translation [GO:0006412],cytosolic large ribosomal subunit [GO:0022625],cytosolic large ribosomal subunit [GO:0022625]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735],GO:0003723; GO:0003735; GO:0006412; GO:0022625,nve:NEMVE_v1g180772;,K02908;,PF01248;,A7RQD8
A0A2B4SAV6,A0A2B4SAV6_STYPI,unreviewed,Calumenin-A,calua AWC38_SpisGene9094,Stylophora pistillata (Smooth cauliflower coral),319,,,calcium ion binding [GO:0005509],calcium ion binding [GO:0005509],GO:0005509,,,PF13202;PF13499;,A0A2B4SAV6
B3VMK3,B3VMK3_ACRMI,unreviewed,Triglyceride lipase,,Acropora millepora (Staghorn coral),352,lipid metabolic process [GO:0006629],extracellular region [GO:0005576],extracellular region [GO:0005576]; triglyceride lipase activity [GO:0004806]; lipid metabolic process [GO:0006629],triglyceride lipase activity [GO:0004806],GO:0004806; GO:0005576; GO:0006629,,,PF00151;,B3VMK3
A0A2B4RP43,A0A2B4RP43_STYPI,unreviewed,Sodium/hydrogen exchanger 9,Slc9a9 AWC38_SpisGene17061,Stylophora pistillata (Smooth cauliflower coral),559,regulation of pH [GO:0006885],integral component of membrane [GO:0016021],integral component of membrane [GO:0016021]; sodium:proton antiporter activity [GO:0015385]; regulation of pH [GO:0006885],sodium:proton antiporter activity [GO:0015385],GO:0006885; GO:0015385; GO:0016021,,,PF00999;,A0A2B4RP43
A0A2B4STA2,A0A2B4STA2_STYPI,unreviewed,Myosin-2 essential light chain,Mlc-c AWC38_SpisGene2863,Stylophora pistillata (Smooth cauliflower coral),194,,,calcium ion binding [GO:0005509],calcium ion binding [GO:0005509],GO:0005509,,,PF00036;,A0A2B4STA2
A7SRF2,A7SRF2_NEMVE,unreviewed,Trafficking protein particle complex subunit 5,v1g173499,Nematostella vectensis (Starlet sea anemone),189,ER to Golgi vesicle-mediated transport [GO:0006888],endoplasmic reticulum [GO:0005783]; TRAPP complex [GO:0030008]; TRAPPIII protein complex [GO:1990072]; TRAPPII protein complex [GO:1990071]; TRAPPI protein complex [GO:1990070],endoplasmic reticulum [GO:0005783]; TRAPP complex [GO:0030008]; TRAPPI protein complex [GO:1990070]; TRAPPII protein complex [GO:1990071]; TRAPPIII protein complex [GO:1990072]; ER to Golgi vesicle-mediated transport [GO:0006888],,GO:0005783; GO:0006888; GO:0030008; GO:1990070; GO:1990071; GO:1990072,nve:NEMVE_v1g173499;,K20280;,PF04051;,A7SRF2
A0A2B4S6V5,A0A2B4S6V5_STYPI,unreviewed,Myoferlin,Myof AWC38_SpisGene11211,Stylophora pistillata (Smooth cauliflower coral),2039,,integral component of membrane [GO:0016021],integral component of membrane [GO:0016021],,GO:0016021,,,PF00168;PF08165;PF08150;PF08151;PF16165;,A0A2B4S6V5
A0A2B4RQQ6,A0A2B4RQQ6_STYPI,unreviewed,Eukaryotic initiation factor 4A-III,Eif4a3 AWC38_SpisGene17021,Stylophora pistillata (Smooth cauliflower coral),403,,,ATP binding [GO:0005524]; helicase activity [GO:0004386]; translation initiation factor activity [GO:0003743],ATP binding [GO:0005524]; helicase activity [GO:0004386]; translation initiation factor activity [GO:0003743],GO:0003743; GO:0004386; GO:0005524,,,PF00270;PF00271;,A0A2B4RQQ6
A7RSF0,A7RSF0_NEMVE,unreviewed,Predicted protein,v1g162224,Nematostella vectensis (Starlet sea anemone),185,cytoplasmic translation [GO:0002181],cytosolic large ribosomal subunit [GO:0022625],cytosolic large ribosomal subunit [GO:0022625]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181],structural constituent of ribosome [GO:0003735],GO:0002181; GO:0003735; GO:0022625,nve:NEMVE_v1g162224;,K02880;,PF00237;,A7RSF0
A0A2B4R8I6,A0A2B4R8I6_STYPI,unreviewed,E3 ubiquitin-protein ligase DTX3L,Dtx3l AWC38_SpisGene21169,Stylophora pistillata (Smooth cauliflower coral),904,Notch signaling pathway [GO:0007219]; protein ubiquitination [GO:0016567],,ligase activity [GO:0016874]; Notch signaling pathway [GO:0007219]; protein ubiquitination [GO:0016567],ligase activity [GO:0016874],GO:0007219; GO:0016567; GO:0016874,,,PF01661;,A0A2B4R8I6
A0A2B4SSD0,A0A2B4SSD0_STYPI,unreviewed,Gamma-interferon-inducible lysosomal thiol reductase,IFI30 AWC38_SpisGene3825,Stylophora pistillata (Smooth cauliflower coral),487,,integral component of membrane [GO:0016021],integral component of membrane [GO:0016021],,GO:0016021,,,PF03227;,A0A2B4SSD0
A0A2B4RWA1,A0A2B4RWA1_STYPI,unreviewed,40S ribosomal protein S12,RPS12 AWC38_SpisGene15032,Stylophora pistillata (Smooth cauliflower coral),140,translation [GO:0006412],ribosome [GO:0005840],ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],structural constituent of ribosome [GO:0003735],GO:0003735; GO:0005840; GO:0006412,,,PF01248;,A0A2B4RWA1
A0A2B4S9Y3,A0A2B4S9Y3_STYPI,unreviewed,Putative mitochondrial ATP-dependent helicase irc3,irc3 AWC38_SpisGene7797,Stylophora pistillata (Smooth cauliflower coral),412,,,ATP binding [GO:0005524]; DNA binding [GO:0003677]; helicase activity [GO:0004386],ATP binding [GO:0005524]; DNA binding [GO:0003677]; helicase activity [GO:0004386],GO:0003677; GO:0004386; GO:0005524,,,PF00271;PF04851;,A0A2B4S9Y3
A0A2B4R0S6,A0A2B4R0S6_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene24117,Stylophora pistillata (Smooth cauliflower coral),1004,DNA integration [GO:0015074]; DNA recombination [GO:0006310],,DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310],DNA binding [GO:0003677],GO:0003677; GO:0006310; GO:0015074,,,,A0A2B4R0S6
A0A2B4RZ55,A0A2B4RZ55_STYPI,unreviewed,Protein phosphatase 1 regulatory subunit 27,Ppp1r27 AWC38_SpisGene14005,Stylophora pistillata (Smooth cauliflower coral),478,,,,,,,,PF12796;,A0A2B4RZ55
A0A2B4SCV1,A0A2B4SCV1_STYPI,unreviewed,Uncharacterized protein,AWC38_SpisGene8974,Stylophora pistillata (Smooth cauliflower coral),282,,,,,,,,,A0A2B4SCV1
A0A2B4RN77,A0A2B4RN77_STYPI,unreviewed,Protein dpy-30-like,DPY30 AWC38_SpisGene16992,Stylophora pistillata (Smooth cauliflower coral),117,,MLL3/4 complex [GO:0044666]; Set1C/COMPASS complex [GO:0048188],MLL3/4 complex [GO:0044666]; Set1C/COMPASS complex [GO:0048188],,GO:0044666; GO:0048188,,,PF05186;,A0A2B4RN77
A8C9L9,A8C9L9_MONCP,unreviewed,Beta gamma crystallin isoform 9,,Montipora capitata (Rice coral),172,,,,,,,,PF00030;,A8C9L9
